# 3.3mg/mL fAT from als 2012.02.27
# q  I(q)  err
 0.216770  3.792135  0.058754
 0.217378  3.725406  0.061500
 0.217986  3.657104  0.059634
 0.218594  3.716838  0.058167
 0.219202  3.609127  0.057678
 0.219810  3.659569  0.055591
 0.220418  3.572674  0.056534
 0.221025  3.570736  0.058899
 0.221633  3.549096  0.057267
 0.222241  3.543254  0.056988
 0.222849  3.460359  0.059965
 0.223457  3.334162  0.063083
 0.224065  3.374029  0.059423
 0.224673  3.395299  0.060788
 0.225281  3.394234  0.054846
 0.225889  3.297065  0.060543
 0.226497  3.322667  0.056430
 0.227105  3.311270  0.059872
 0.227713  3.287887  0.060678
 0.228321  3.253166  0.057030
 0.228929  3.221893  0.056880
 0.229537  3.147641  0.056314
 0.230145  3.208839  0.055575
 0.230753  2.992515  0.057905
 0.231361  3.044509  0.053826
 0.231969  3.011213  0.055858
 0.232577  3.019696  0.053814
 0.233185  3.017765  0.055274
 0.233793  2.952614  0.057151
 0.234401  3.067445  0.054440
 0.235009  3.100160  0.059109
 0.235617  3.018986  0.055663
 0.236225  2.978854  0.054132
 0.236833  2.873181  0.055537
 0.237441  2.794910  0.054213
 0.238049  2.761978  0.054906
 0.238657  2.687462  0.058737
 0.239265  2.783455  0.055500
 0.239873  2.777143  0.055482
 0.240481  2.722123  0.062910
 0.241089  2.786523  0.056504
 0.241697  2.789239  0.057073
 0.242304  2.815030  0.055026
 0.242912  2.882162  0.053848
 0.243520  2.763293  0.054074
 0.244128  2.660083  0.056357
 0.244736  2.548903  0.050834
 0.245344  2.628575  0.053736
 0.245952  2.563454  0.054142
 0.246560  2.574749  0.053560
 0.247168  2.626146  0.054443
 0.247776  2.534538  0.055454
 0.248384  2.539101  0.054334
 0.248992  2.443765  0.054562
 0.249600  2.640115  0.054884
 0.250208  2.402196  0.052706
 0.250816  2.429219  0.053066
 0.251424  2.414622  0.062346
 0.252032  2.309795  0.055185
 0.252640  2.389355  0.055749
 0.253248  2.309196  0.056043
 0.253856  2.317764  0.054460
 0.254464  2.280908  0.051602
 0.255072  2.285830  0.059960
 0.255679  2.392473  0.051243
 0.256287  2.273749  0.055284
 0.256895  2.336632  0.054444
 0.257503  2.287969  0.051833
 0.258111  2.278103  0.052017
 0.258719  2.088265  0.053552
 0.259327  2.238861  0.049369
 0.259935  2.118406  0.054226
 0.260543  2.259447  0.054900
 0.261151  2.188403  0.054221
 0.261759  2.138012  0.053095
 0.262367  2.187111  0.053578
 0.262975  2.173359  0.050040
 0.263583  2.160257  0.049478
 0.264191  2.178547  0.051698
 0.264799  2.138384  0.054138
 0.265407  2.146870  0.052498
 0.266014  2.002086  0.052287
 0.266622  2.136369  0.050052
 0.267230  1.947434  0.051230
 0.267838  1.949739  0.052985
 0.268446  1.978547  0.047900
 0.269054  1.982524  0.050509
 0.269662  2.045388  0.052759
 0.270270  2.002206  0.048874
 0.270878  1.970885  0.051149
 0.271486  2.032590  0.051856
 0.272094  1.983021  0.051371
 0.272702  1.906589  0.049883
 0.273310  1.832204  0.048074
 0.273918  2.009077  0.048536
 0.274526  1.941084  0.049220
 0.275133  2.031584  0.050059
 0.275741  1.953049  0.049057
 0.276349  1.940427  0.053918
 0.276957  1.899128  0.049415
 0.277565  1.833319  0.048313
 0.278173  1.772216  0.049529
 0.278781  1.855285  0.048283
 0.279389  1.791984  0.050477
 0.279997  1.796754  0.048510
 0.280605  1.835207  0.047421
 0.281213  1.767222  0.046685
 0.281821  1.838971  0.048218
 0.282429  1.782636  0.049833
 0.283036  1.864684  0.045122
 0.283644  1.837372  0.047894
 0.284252  1.768075  0.050035
 0.284860  1.775868  0.048816
 0.285468  1.833907  0.050141
 0.286076  1.808061  0.048064
 0.286684  1.727654  0.048020
 0.287292  1.721892  0.049098
 0.287900  1.738221  0.045300
 0.288508  1.769458  0.046388
 0.289116  1.767847  0.046444
 0.289723  1.718665  0.046776
 0.290331  1.742733  0.046654
 0.290939  1.760751  0.049757
 0.291547  1.760338  0.048389
 0.292155  1.727232  0.048038
 0.292763  1.766742  0.047386
 0.293371  1.740436  0.046704
 0.293979  1.659256  0.045353
 0.294587  1.699078  0.049564
 0.295195  1.759642  0.060099
 0.295803  1.731410  0.045811
 0.296410  1.735582  0.046047
 0.297018  1.739076  0.048480
 0.297626  1.791481  0.047123
 0.298234  1.740617  0.046096
 0.298842  1.781033  0.044994
 0.299450  1.740737  0.044126
 0.300058  1.646708  0.044221
 0.300666  1.698245  0.046915
 0.301274  1.632999  0.043737
 0.301881  1.735232  0.045016
 0.302489  1.751753  0.045480
 0.303097  1.805278  0.042428
 0.303705  1.692878  0.044953
 0.304313  1.724183  0.043737
 0.304921  1.641169  0.043136
 0.305529  1.701614  0.046145
 0.306137  1.699116  0.043479
 0.306745  1.637873  0.043708
 0.307353  1.681081  0.044840
 0.307960  1.632168  0.043186
 0.308568  1.707579  0.042317
 0.309176  1.684409  0.042721
 0.309784  1.707085  0.045799
 0.310392  1.692103  0.043721
 0.311000  1.690241  0.047006
 0.311608  1.743494  0.050564
 0.312216  1.786752  0.049554
 0.312823  1.789553  0.047776
 0.313431  1.743148  0.055612
 0.314039  1.738164  0.050719
 0.314647  1.672838  0.053006
 0.315255  1.709727  0.057462
 0.315863  1.648629  0.053615
 0.316471  1.607800  0.058278
 0.317079  1.632337  0.063424
 0.317686  1.810211  0.063836
 0.318294  1.538840  0.068741
 0.318902  1.786866  0.069277
 0.319510  1.707213  0.070282
 0.320118  1.744770  0.084421
 0.320726  1.485863  0.095408
 0.321334  1.490863  0.092290
 0.321942  1.533512  0.105393
 0.322549  1.501623  0.213109
 
